"filename", "language", "TOML", "Rust", "source.markdown.math", "Lox", "comment", "blank", "total"
"/home/eden/ProjectsRepo/rlox/Cargo.lock", "TOML", 63, 0, 0, 0, 2, 10, 75
"/home/eden/ProjectsRepo/rlox/Cargo.toml", "TOML", 14, 0, 0, 0, 1, 4, 19
"/home/eden/ProjectsRepo/rlox/enum_repr/Cargo.lock", "TOML", 39, 0, 0, 0, 2, 6, 47
"/home/eden/ProjectsRepo/rlox/enum_repr/Cargo.toml", "TOML", 9, 0, 0, 0, 1, 4, 14
"/home/eden/ProjectsRepo/rlox/enum_repr/src/lib.rs", "Rust", 0, 59, 0, 0, 0, 14, 73
"/home/eden/ProjectsRepo/rlox/private/src/calculator.lox", "Lox", 0, 0, 0, 1, 0, 0, 1
"/home/eden/ProjectsRepo/rlox/private/src/meaningless.lox", "Lox", 0, 0, 0, 3, 0, 0, 3
"/home/eden/ProjectsRepo/rlox/readme.md", "source.markdown.math", 0, 0, 3, 0, 0, 3, 6
"/home/eden/ProjectsRepo/rlox/rustfmt.toml", "TOML", 1, 0, 0, 0, 0, 1, 2
"/home/eden/ProjectsRepo/rlox/src/chunk.rs", "Rust", 0, 36, 0, 0, 15, 8, 59
"/home/eden/ProjectsRepo/rlox/src/compiler.rs", "Rust", 0, 385, 0, 0, 88, 37, 510
"/home/eden/ProjectsRepo/rlox/src/debug.rs", "Rust", 0, 59, 0, 0, 10, 16, 85
"/home/eden/ProjectsRepo/rlox/src/lib.rs", "Rust", 0, 7, 0, 0, 0, 1, 8
"/home/eden/ProjectsRepo/rlox/src/main.rs", "Rust", 0, 34, 0, 0, 2, 7, 43
"/home/eden/ProjectsRepo/rlox/src/scanner.rs", "Rust", 0, 305, 0, 0, 62, 38, 405
"/home/eden/ProjectsRepo/rlox/src/utils.rs", "Rust", 0, 25, 0, 0, 15, 8, 48
"/home/eden/ProjectsRepo/rlox/src/value.rs", "Rust", 0, 204, 0, 0, 17, 24, 245
"/home/eden/ProjectsRepo/rlox/src/vm.rs", "Rust", 0, 175, 0, 0, 41, 25, 241
"/home/eden/ProjectsRepo/rlox/tests/project_root_usage.rs", "Rust", 0, 9, 0, 0, 0, 1, 10
"/home/eden/ProjectsRepo/rlox/tests/vm_hand_compile.rs", "Rust", 0, 27, 0, 0, 7, 4, 38
"Total", "-", 126, 1325, 3, 4, 263, 211, 1932